Chem_name,CAS,consensus_2_agonist,Potency_class_2_agonist,consensus_2_antagonist,Potency_class_2_antagonist
Formaldehyde,50-00-0,0,Inactive,0,Inactive
Carbon monoxide,630-08-0,0,Inactive,0,Inactive
Chromium carbonyl,13007-92-6,0,Inactive,0,Inactive
Nickel carbonyl,13463-39-3,0,Inactive,0,Inactive
"Iron carbonyl (Fe(CO)5), (TB-5-11)-",13463-40-6,0,Inactive,0,Inactive
Paraformaldehyde,30525-89-4,0,Inactive,0,Inactive
octacarbonyldicobalt,10210-68-1,0,Inactive,0,Inactive
Nickel carbonyl,12612-55-4,0,Inactive,0,Inactive
tri-?-carbonyltetracarbonyl(pentacarbonyldicobalt)dirhodium,50696-78-1,0,Inactive,0,Inactive
Dexamethasone,50-02-2,1,Moderate,1,Weak
Betamethasone,378-44-9,1,Moderate,1,Weak
"(11beta)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",1249-18-9,1,Moderate,1,Weak
Hydrocortisone acetate,50-03-3,1,VeryWeak,1,VeryWeak
Cortisone acetate,50-04-4,1,VeryWeak,1,VeryWeak
Phenobarbital,50-06-6,0,Inactive,0,Inactive
Phenobarbital sodium,57-30-7,0,Inactive,0,Inactive
Mitomycin C,50-07-7,0,Inactive,0,Inactive
MITOMYCIN,1404-00-8,0,Inactive,0,Inactive
Oxyphenonium bromide,50-10-2,0,Inactive,0,Inactive
Oxyphenonium,14214-84-7,0,Inactive,0,Inactive
Methocidin,1407-05-2,0,Inactive,0,Inactive
Metharbital,50-11-3,0,Inactive,0,Inactive
Mephenytoin,50-12-4,0,Inactive,0,Inactive
(S)-Mephenytoin,70989-04-7,0,Inactive,0,Inactive
Ergocalciferol,50-14-6,0,Suspicious,0,Inactive
ERGOCALCIFEROL,31316-19-5,0,Suspicious,0,Inactive
Cyclophosphamide,50-18-0,0,Suspicious,0,Suspicious
Cyclophosphamide monohydrate,6055-19-2,0,Suspicious,0,Suspicious
Cyclophosphamide,60007-96-7,0,Suspicious,0,Suspicious
Lactic acid,50-21-5,0,Inactive,0,Inactive
Sodium dl-lactate,72-17-3,0,Inactive,0,Inactive
L-Lactic acid,79-33-4,0,Inactive,0,Inactive
Dihydroxyacetone,96-26-4,0,Inactive,0,Inactive
Ammonium lactate,515-98-0,0,Inactive,0,Inactive
Calcium lactate,814-80-2,0,Inactive,0,Inactive
Sodium l-lactate,867-56-1,0,Inactive,0,Inactive
