CAS,CID,MolecularFormula,MolecularWeight,IUPACName
481-30-1,10204,C19H28O2,288.4,"(8R,9S,10R,13S,14S,17R)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one"
84-74-2,3026,C16H22O4,278.34,"dibutyl benzene-1,2-dicarboxylate"
571-22-2,11302,C19H30O2,290.4,"(5R,8R,9S,10S,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one"
218-01-9,9171,C18H12,228.3,chrysene
131-56-6,8572,C13H10O3,214.22,"(2,4-dihydroxyphenyl)-phenylmethanone"
143-74-8,4766,C19H14O5S,354.4,"4-[3-(4-hydroxyphenyl)-1,1-dioxo-2,1lambda6-benzoxathiol-3-yl]phenol"
58-89-9,727,C6H6Cl6,290.8,"1,2,3,4,5,6-hexachlorocyclohexane"
60-57-1,969491,C12H8Cl6O,380.9,"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene"
50-02-2,5743,C22H29FO5,392.5,"(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one"
81-90-3,66494,C20H16O4,320.3,2-[bis(4-hydroxyphenyl)methyl]benzoic acid
80-09-1,6626,C12H10O4S,250.27,4-(4-hydroxyphenyl)sulfonylphenol
2050-68-2,16308,C12H8Cl2,223.09,1-chloro-4-(4-chlorophenyl)benzene
521-18-6,10635,C19H30O2,290.4,"(5S,8R,9S,10S,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one"
1806-26-4,15730,C14H22O,206.32,4-octylphenol
1852-53-5,15818,C19H32O2,292.5,"(3R,5S,8R,9S,10S,13S,14S,17S)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,17-diol"
15372-34-6,11954177,C19H22O3,298.4,"(1S,2R)-1-ethyl-7-methoxy-2-methyl-3,4-dihydro-1H-phenanthrene-2-carboxylic acid"
13037-86-0,25641,C13H20O2,208.3,4-heptoxyphenol
94-25-7,2482,C11H15NO2,193.24,butyl 4-aminobenzoate
1085-12-7,14138,C14H20O3,236.31,heptyl 4-hydroxybenzoate
599-64-4,11742,C15H16O,212.29,4-(2-phenylpropan-2-yl)phenol
