ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
103-16-2_min,4MGA,27L_redock_4MGA,0.9219,5.9376,inf
103-16-2_min,3ERD,DES_redock_3ERD,0.9182,5.7131,inf
103-16-2_min,4ZN7,DES_redock_4ZN7,0.9127,5.7670,inf
103-16-2_min,1GWR,EST_redock_1GWR,0.9083,5.3246,inf
103-16-2_min,3UU7,2OH_redock_3UU7,0.9083,5.5347,inf
103-16-2_min,1G50,EST_redock_1G50,0.8995,5.5522,inf
103-16-2_min,3UUD,EST_redock_3UUD,0.8989,5.4464,inf
103-16-2_min,4MG9,27K_redock_4MG9,0.8987,5.3004,inf
103-16-2_min,1ERE,EST_redock_1ERE,0.8912,6.0549,inf
103-16-2_min,6CBZ,EST_redock_6CBZ,0.8876,5.7052,inf
103-16-2_min,4TUZ,36J_redock_4TUZ,0.8806,5.4800,inf
103-16-2_min,4MG8,27J_redock_4MG8,0.8784,5.1076,inf
103-16-2_min,4MGC,27M_redock_4MGC,0.8651,4.8620,inf
104-43-8_min,4ZN7,DES_redock_4ZN7,0.9484,7.6652,inf
104-43-8_min,4MG8,27J_redock_4MG8,0.9428,7.2819,inf
104-43-8_min,3UU7,2OH_redock_3UU7,0.9398,7.4137,inf
104-43-8_min,3UUD,EST_redock_3UUD,0.9344,7.3127,inf
104-43-8_min,1ERE,EST_redock_1ERE,0.9291,7.5486,inf
104-43-8_min,6CBZ,EST_redock_6CBZ,0.9234,7.1648,inf
104-43-8_min,1G50,EST_redock_1G50,0.9213,7.3291,inf
104-43-8_min,1GWR,EST_redock_1GWR,0.9206,7.2223,inf
104-43-8_min,4MG9,27K_redock_4MG9,0.9187,7.0783,inf
104-43-8_min,4MGC,27M_redock_4MGC,0.9165,6.9728,inf
104-43-8_min,4MGA,27L_redock_4MGA,0.9152,7.3816,inf
104-43-8_min,3ERD,DES_redock_3ERD,0.9079,7.0033,inf
104-43-8_min,4TUZ,36J_redock_4TUZ,0.8858,6.8999,inf
1085-12-7_min,3ERD,DES_redock_3ERD,0.9187,5.9014,inf
1085-12-7_min,4ZN7,DES_redock_4ZN7,0.9166,6.2634,inf
1085-12-7_min,1G50,EST_redock_1G50,0.9088,6.6385,inf
1085-12-7_min,1ERE,EST_redock_1ERE,0.9030,6.3859,inf
1085-12-7_min,3UUD,EST_redock_3UUD,0.9029,5.8731,inf
1085-12-7_min,1GWR,EST_redock_1GWR,0.8923,5.9366,inf
1085-12-7_min,3UU7,2OH_redock_3UU7,0.8864,5.9593,inf
1085-12-7_min,6CBZ,EST_redock_6CBZ,0.8792,6.0105,inf
1085-12-7_min,4MGC,27M_redock_4MGC,0.8653,5.5840,inf
1085-12-7_min,4MG9,27K_redock_4MG9,0.8643,5.7630,1.5885
1085-12-7_min,4TUZ,36J_redock_4TUZ,0.8587,6.0067,inf
