CAS,CID,MolecularFormula,MolecularWeight,IUPACName
134523-00-5,60823,C33H35FN2O5,558.6,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid"
85-68-7,2347,C19H20O4,312.4,"2-O-benzyl 1-O-butyl benzene-1,2-dicarboxylate"
58-08-2,2519,C8H10N4O2,194.19,"1,3,7-trimethylpurine-2,6-dione"
298-46-4,2554,C15H12N2O,236.27,benzo[b][1]benzazepine-11-carboxamide
134-62-3,4284,C12H17NO,191.27,"N,N-diethyl-3-methylbenzamide"
58-73-1,3100,C17H21NO,255.35,"2-benzhydryloxy-N,N-dimethylethanamine"
93413-69-5,5656,C17H27NO2,277.4,1-[2-(dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol
57-63-6,5991,C20H24O2,296.4,"(8R,9S,13S,14S,17R)-17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-diol"
84-16-2,192197,C18H22O2,270.4,"4-[(3S,4R)-4-(4-hydroxyphenyl)hexan-3-yl]phenol"
56-53-1,448537,C18H20O2,268.3,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol
84-17-3,667476,C18H18O2,266.3,"4-[(2E,4E)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol"
53-16-7,5870,C18H22O2,270.4,"(8R,9S,13S,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one"
72-33-3,6291,C21H26O2,310.4,"(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol"
57-91-0,68570,C18H24O2,272.4,"(8R,9S,13S,14S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol"
50-27-1,5756,C18H24O3,288.4,"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol"
50-28-2,5757,C18H24O2,272.4,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol"
34816-55-2,11954041,C21H26O3,326.4,"(8S,9S,11S,13S,14S,17R)-17-ethynyl-11-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-diol"
474-86-2,223368,C18H20O2,268.3,"(9S,13S,14S)-3-hydroxy-13-methyl-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-17-one"
5976-61-4,5282360,C18H24O3,288.4,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,4,17-triol"
53-63-4,5888,C18H24O,256.4,"(8S,9S,13S,14S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-ol"
362-05-0,247304,C18H24O3,288.4,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-2,3,17-triol"
54-11-5,89594,C10H14N2,162.23,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine
15569-85-4,408,C10H12N2O,176.21,1-methyl-5-pyridin-3-ylpyrrolidin-2-one
42542-10-9,1615,C11H15NO2,193.24,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine"
125-71-3,5360696,C18H25NO,271.4,"(1S,9S,10S)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene"
58955-93-4,114725,C15H14N2O3,270.28,"(5S,6S)-5,6-dihydroxy-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide"
301-02-0,5283387,C18H35NO,281.5,(Z)-octadec-9-enamide
