protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD,affinity
1ERE,53-16-7_min,EST_redock_1ERE,0.9894,8.1667,0.6404,-11.6131
1ERE,474-86-2_min,EST_redock_1ERE,0.9836,7.9732,0.7425,-11.1226
1ERE,50-28-2_min,EST_redock_1ERE,0.9824,8.1945,0.5143,-11.3067
1ERE,57-91-0_min,EST_redock_1ERE,0.9797,8.0580,0.7362,-11.5183
1ERE,5696-58-2_min,EST_redock_1ERE,0.9762,7.4867,0.7178,-11.1496
1ERE,53-63-4_min,EST_redock_1ERE,0.9729,7.9678,inf,-11.0208
1ERE,50-27-1_min,EST_redock_1ERE,0.9719,8.1254,0.4968,-11.6585
1ERE,362-05-0_min,EST_redock_1ERE,0.9644,7.6172,0.5648,-11.2976
1ERE,57-63-6_min,EST_redock_1ERE,0.9558,8.1882,0.7314,-9.9567
1ERE,5976-61-4_min,EST_redock_1ERE,0.9447,7.6033,0.4113,-10.5686
1ERE,34816-55-2_min,EST_redock_1ERE,0.9422,7.9483,0.7031,-9.6692
1ERE,481-29-8_min,EST_redock_1ERE,0.9338,7.5044,0.8144,-10.4694
1ERE,84-16-2_min,EST_redock_1ERE,0.9335,7.7688,inf,-8.5379
1ERE,84057-84-1_min,EST_redock_1ERE,0.9273,6.4263,inf,-7.4687
1ERE,53-43-0_min,EST_redock_1ERE,0.9196,7.2951,0.7754,-10.2691
1ERE,56-53-1_min,EST_redock_1ERE,0.9177,7.5454,inf,-8.1138
1ERE,93413-62-8_min,EST_redock_1ERE,0.8530,6.2981,inf,-8.6876
1ERE,84-17-3_min,EST_redock_1ERE,0.8523,7.1044,inf,-8.3558
1ERE,103-90-2_min,EST_redock_1ERE,0.8517,4.0105,inf,-5.8517
1ERE,301-02-0_min,EST_redock_1ERE,0.8397,6.5440,inf,-6.7922
1ERE,85-68-7_min,EST_redock_1ERE,0.8123,4.9870,inf,-8.4061
1ERE,95-14-7_min,EST_redock_1ERE,0.7762,2.9738,inf,-5.5666
1ERE,126-73-8_min,EST_redock_1ERE,0.7690,3.2679,inf,-5.1975
1ERE,876-04-0_min,EST_redock_1ERE,0.7593,4.0348,inf,-5.8437
1ERE,738-70-5_min,EST_redock_1ERE,0.7482,5.5908,inf,-6.5941
1ERE,15569-85-4_min,EST_redock_1ERE,0.7154,3.7039,inf,-6.0501
1ERE,2243-62-1_min,EST_redock_1ERE,0.7069,3.1610,inf,-7.0608
1ERE,34014-18-1_min,EST_redock_1ERE,0.6965,4.5895,inf,-5.9876
1ERE,134-62-3_min,EST_redock_1ERE,0.6877,3.3310,inf,-6.3940
1ERE,28721-07-5_min,EST_redock_1ERE,0.6714,4.1519,inf,-8.0913
1ERE,2631-40-5_min,EST_redock_1ERE,0.6659,4.0338,inf,-6.0983
1ERE,104746-04-5_min,EST_redock_1ERE,0.6486,3.9517,inf,-8.5285
1ERE,29331-92-8_min,EST_redock_1ERE,0.6486,3.9517,inf,-8.5285
1ERE,1222-05-5_min,EST_redock_1ERE,0.6302,4.2730,inf,-9.6096
1ERE,36507-30-9_min,EST_redock_1ERE,0.6143,3.8883,inf,-7.9793
1ERE,298-46-4_min,EST_redock_1ERE,0.6131,3.9522,inf,-9.2864
1ERE,60207-90-1_min,EST_redock_1ERE,0.6000,4.2457,inf,-8.3439
1ERE,58-08-2_min,EST_redock_1ERE,0.5844,3.0135,inf,-5.3984
1ERE,54-11-5_min,EST_redock_1ERE,0.5609,2.7536,inf,-6.0260
1ERE,144-83-2_min,EST_redock_1ERE,0.5584,3.3614,inf,-7.8530
1ERE,537-46-2_min,EST_redock_1ERE,0.5510,2.2265,inf,-5.9379
1ERE,72-33-3_min,EST_redock_1ERE,0.5353,4.0294,0.6474,-7.1665
1ERE,58-73-1_min,EST_redock_1ERE,0.5327,3.0753,inf,-7.0326
1ERE,2163-68-0_min,EST_redock_1ERE,0.5294,2.9894,inf,-5.7401
1ERE,97-39-2_min,EST_redock_1ERE,0.5070,3.4633,inf,-7.9453
1ERE,42542-10-9_min,EST_redock_1ERE,0.4950,2.3932,inf,-5.7091
1ERE,601-57-0_min,EST_redock_1ERE,0.4876,3.6647,inf,-0.3226
1ERE,34911-55-2_min,EST_redock_1ERE,0.4666,2.6085,inf,-6.5192
1ERE,107534-96-3_min,EST_redock_1ERE,0.4440,3.1107,inf,-8.1018
1ERE,18684-55-4_min,EST_redock_1ERE,0.4345,2.8061,inf,-7.3071
1ERE,93413-69-5_min,EST_redock_1ERE,0.4332,2.9487,inf,-7.2932
1ERE,541-02-6_min,EST_redock_1ERE,0.4047,1.6748,inf,13.4406
1ERE,540-97-6_min,EST_redock_1ERE,0.3896,1.6835,inf,19.5746
1ERE,14800-24-9_min,EST_redock_1ERE,0.3736,1.4994,inf,-4.6831
1ERE,7374-53-0_min,EST_redock_1ERE,0.3658,2.1739,inf,-6.0984
1ERE,69335-91-7_min,EST_redock_1ERE,0.3580,2.3094,inf,-5.6585
1ERE,58955-93-4_min,EST_redock_1ERE,0.3570,2.1400,inf,-7.6565
1ERE,5051-22-9_min,EST_redock_1ERE,0.3388,2.1142,inf,-7.9077
1ERE,66722-44-9_min,EST_redock_1ERE,0.3332,1.9433,inf,-6.1200
1ERE,525-66-6_min,EST_redock_1ERE,0.3247,1.9832,inf,-7.8938
1ERE,3930-20-9_min,EST_redock_1ERE,0.3190,1.9835,inf,-6.7322
1ERE,10605-21-7_min,EST_redock_1ERE,0.3144,1.7025,inf,-6.2764
1ERE,122-34-9_min,EST_redock_1ERE,0.3115,1.6844,inf,-5.1078
1ERE,1912-24-9_min,EST_redock_1ERE,0.2789,1.6427,inf,-5.6970
1ERE,16287-71-1_min,EST_redock_1ERE,0.2618,1.7557,inf,-7.0470
1ERE,134523-00-5_min,EST_redock_1ERE,0.1585,0.9159,inf,6.3218
1ERE,7432-28-2_min,EST_redock_1ERE,0.1568,1.0210,inf,0.0436
1ERE,125-71-3_min,EST_redock_1ERE,0.1549,0.9043,inf,-8.4068
1G50,53-16-7_min,EST_redock_1G50,0.9902,8.2969,0.5872,-11.8011
1G50,474-86-2_min,EST_redock_1G50,0.9823,8.1628,0.5841,-10.9337
1G50,57-91-0_min,EST_redock_1G50,0.9710,7.9005,0.7509,-11.8269
1G50,50-28-2_min,EST_redock_1G50,0.9692,8.0906,0.8287,-11.9476
1G50,5696-58-2_min,EST_redock_1G50,0.9690,7.4431,0.8211,-10.7182
1G50,84-16-2_min,EST_redock_1G50,0.9594,7.9554,inf,-8.9815
1G50,5976-61-4_min,EST_redock_1G50,0.9580,7.8474,0.7278,-11.8592
1G50,50-27-1_min,EST_redock_1G50,0.9551,8.2222,0.3286,-10.6254
1G50,53-63-4_min,EST_redock_1G50,0.9545,7.6608,inf,-11.3063
1G50,53-43-0_min,EST_redock_1G50,0.9527,7.6349,0.8115,-10.7093
1G50,481-29-8_min,EST_redock_1G50,0.9475,7.6752,0.7924,-10.4934
1G50,84-17-3_min,EST_redock_1G50,0.9270,7.5456,inf,-9.1431
1G50,56-53-1_min,EST_redock_1G50,0.9040,7.3546,inf,-8.4743
1G50,84057-84-1_min,EST_redock_1G50,0.9020,6.2991,inf,-7.2223
1G50,95-14-7_min,EST_redock_1G50,0.9002,3.6899,inf,-5.5678
1G50,362-05-0_min,EST_redock_1G50,0.8845,6.8693,0.9531,-12.0411
1G50,34816-55-2_min,EST_redock_1G50,0.8775,7.1261,0.8520,-9.7793
1G50,93413-62-8_min,EST_redock_1G50,0.8694,6.4319,inf,-8.6301
1G50,103-90-2_min,EST_redock_1G50,0.8530,4.8586,inf,-6.1362
1G50,1222-05-5_min,EST_redock_1G50,0.8382,5.7295,inf,-9.8635
1G50,57-63-6_min,EST_redock_1G50,0.8347,6.7741,1.0527,-10.2443
1G50,301-02-0_min,EST_redock_1G50,0.8344,6.4633,inf,-6.7290
1G50,876-04-0_min,EST_redock_1G50,0.8100,4.2524,inf,-6.1226
1G50,15569-85-4_min,EST_redock_1G50,0.7423,4.2474,inf,-6.1898
1G50,85-68-7_min,EST_redock_1G50,0.7314,4.3790,inf,-8.1100
1G50,738-70-5_min,EST_redock_1G50,0.7232,5.3814,inf,-6.9137
1G50,298-46-4_min,EST_redock_1G50,0.6565,3.8952,inf,-7.9525
1G50,58-08-2_min,EST_redock_1G50,0.6507,3.2288,inf,-5.9378
1G50,34014-18-1_min,EST_redock_1G50,0.6206,4.1817,inf,-6.2536
1G50,29331-92-8_min,EST_redock_1G50,0.5996,3.5010,inf,-8.0776
1G50,104746-04-5_min,EST_redock_1G50,0.5996,3.5010,inf,-8.0776
1G50,134-62-3_min,EST_redock_1G50,0.5982,2.9840,inf,-6.5528
1G50,144-83-2_min,EST_redock_1G50,0.5957,3.7431,inf,-7.3230
