Report produced 2026-03-19 16:10:55 | experiment id: 1773875455

GNINA cross-docking run:
Each estrogen receptor protein was docked against all minimized ideal ligands.
RMSD is reported only for matching native ligand pairs.

Ligands included in this run:
Ligand ID        Ligand Name                    Ligand Type
27J_min         alpha-zearalanol               Moderate Antagonist
27K_min         Butyl paraben                  Weak agonist/Strong Antagonist
27L_min         4-tert-octylphenol             Weak agonist
27M_min         Benzophenone-2                 Agonist
2OH_min         Bisphenol A (BPA)              Weak Agonist/Weak Antagonist
36J_min         alpha-zearalenol               Antagonist
Caffeine_min    Caffeine                       Inactive
DES_min         Diethylstilbestrol (DES)       Agonist
EE2_min         EE2                            Agonist
EST_min         17β-estradiol (E2)             Agonist
Melatonin_min   Melatonin                      Inactive
Testosterone_min Testosterone                   Weak agonist/moderate antagonist

Gnina options:
exhaustiveness 16
seed 0

Results:
protein + native_ligand | docked_ligand        CNN Score     CNN_VS       RMSD
6CBZ_A_fixed.pdb + EST | 27J_min                                 0.6742     4.422078          nan
3UUD_A_fixed.pdb + EST | 27J_min                                 0.6731     4.546791          nan
4ZN7_A_fixed.pdb + DES | 27J_min                                 0.6441     4.179565          nan
1GWR_A_fixed.pdb + EST | 27J_min                                 0.6225     4.085468          nan
4MGA_A_fixed.pdb + 27L | 27J_min                                 0.4214     2.592874          nan
1G50_A_fixed.pdb + EST | 27J_min                                 0.3598     2.304159          nan
4MG9_A_fixed.pdb + 27K | 27J_min                                 0.6565     4.501620          nan
3ERD_A_fixed.pdb + DES | 27J_min                                 0.6121     3.932742          nan
4MG8_A_fixed.pdb + 27J | 27J_min                                 0.6184     3.844593     1.396880
4MGC_A_fixed.pdb + 27M | 27J_min                                 0.6085     4.034964          nan
3UU7_A_fixed.pdb + 2OH | 27J_min                                 0.6879     4.950816          nan
4TUZ_A_fixed.pdb + 36J | 27J_min                                 0.7257     4.764946          nan
1ERE_A_fixed.pdb + EST | 27J_min                                 0.6480     4.660416          nan
3UUD_A_fixed.pdb + EST | 27K_min                                 0.9190     5.283331          nan
4TUZ_A_fixed.pdb + 36J | 27K_min                                 0.8726     5.097729          nan
1G50_A_fixed.pdb + EST | 27K_min                                 0.8974     5.879765          nan
4MGC_A_fixed.pdb + 27M | 27K_min                                 0.8899     5.016366          nan
4MG9_A_fixed.pdb + 27K | 27K_min                                 0.9252     5.161691     2.453430
4ZN7_A_fixed.pdb + DES | 27K_min                                 0.9375     5.430937          nan
4MGA_A_fixed.pdb + 27L | 27K_min                                 0.8909     5.301746          nan
6CBZ_A_fixed.pdb + EST | 27K_min                                 0.9214     5.411382          nan
4MG8_A_fixed.pdb + 27J | 27K_min                                 0.8880     4.773000          nan
1ERE_A_fixed.pdb + EST | 27K_min                                 0.8967     4.843077          nan
3UU7_A_fixed.pdb + 2OH | 27K_min                                 0.9118     5.368678          nan
3ERD_A_fixed.pdb + DES | 27K_min                                 0.9182     5.215376          nan
1GWR_A_fixed.pdb + EST | 27K_min                                 0.9136     4.920650          nan
4TUZ_A_fixed.pdb + 36J | 27L_min                                 0.8887     6.270667          nan
1GWR_A_fixed.pdb + EST | 27L_min                                 0.9051     6.179118          nan
3UUD_A_fixed.pdb + EST | 27L_min                                 0.9499     6.729092          nan
3UU7_A_fixed.pdb + 2OH | 27L_min                                 0.9458     6.707614          nan
4ZN7_A_fixed.pdb + DES | 27L_min                                 0.9534     6.792975          nan
4MGA_A_fixed.pdb + 27L | 27L_min                                 0.9521     6.941761     2.851640
3ERD_A_fixed.pdb + DES | 27L_min                                 0.9544     6.925126          nan
6CBZ_A_fixed.pdb + EST | 27L_min                                 0.8989     6.270726          nan
1ERE_A_fixed.pdb + EST | 27L_min                                 0.9506     6.807247          nan
1G50_A_fixed.pdb + EST | 27L_min                                 0.9353     6.901579          nan
4MGC_A_fixed.pdb + 27M | 27L_min                                 0.9352     6.424824          nan
4MG8_A_fixed.pdb + 27J | 27L_min                                 0.8972     5.590453          nan
4MG9_A_fixed.pdb + 27K | 27L_min                                 0.9242     6.349254          nan
3UUD_A_fixed.pdb + EST | 27M_min                                 0.7995     4.911328          nan
4TUZ_A_fixed.pdb + 36J | 27M_min                                 0.7969     4.765462          nan
4MGA_A_fixed.pdb + 27L | 27M_min                                 0.8029     4.466533          nan
4ZN7_A_fixed.pdb + DES | 27M_min                                 0.8720     5.224152          nan
3UU7_A_fixed.pdb + 2OH | 27M_min                                 0.8323     4.407861          nan
1GWR_A_fixed.pdb + EST | 27M_min                                 0.8803     4.790593          nan
4MGC_A_fixed.pdb + 27M | 27M_min                                 0.8034     4.575363     2.247300
4MG8_A_fixed.pdb + 27J | 27M_min                                 0.7407     4.261988          nan
1ERE_A_fixed.pdb + EST | 27M_min                                 0.7607     4.386196          nan
1G50_A_fixed.pdb + EST | 27M_min                                 0.6902     3.798171          nan
3ERD_A_fixed.pdb + DES | 27M_min                                 0.8551     4.826184          nan
6CBZ_A_fixed.pdb + EST | 27M_min                                 0.8166     4.633388          nan
4MG9_A_fixed.pdb + 27K | 27M_min                                 0.8210     4.149334          nan
