ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
27J_min,4TUZ,36J_redock_4TUZ,0.7166,4.7162,1.4198
27J_min,3UUD,EST_redock_3UUD,0.7024,4.7255,inf
27J_min,6CBZ,EST_redock_6CBZ,0.6954,4.6440,inf
27J_min,1GWR,EST_redock_1GWR,0.6786,4.5943,inf
27J_min,4ZN7,DES_redock_4ZN7,0.6563,4.2751,inf
27J_min,4MG9,27K_redock_4MG9,0.6129,4.1214,2.2296
27J_min,3ERD,DES_redock_3ERD,0.6122,3.9326,inf
27J_min,4MG8,27J_redock_4MG8,0.6103,3.9176,1.4909
27J_min,4MGC,27M_redock_4MGC,0.6062,4.0048,inf
27J_min,1ERE,EST_redock_1ERE,0.5618,3.5883,inf
27J_min,1G50,EST_redock_1G50,0.4775,3.0690,inf
27J_min,3UU7,2OH_redock_3UU7,0.4592,3.0779,inf
27J_min,4MGA,27L_redock_4MGA,0.4549,2.8513,inf
27K_min,4ZN7,DES_redock_4ZN7,0.9421,5.5456,inf
27K_min,4MG8,27J_redock_4MG8,0.9301,4.8610,inf
27K_min,3UUD,EST_redock_3UUD,0.9240,5.3583,inf
27K_min,3ERD,DES_redock_3ERD,0.9184,5.2166,inf
27K_min,4MG9,27K_redock_4MG9,0.9180,5.0754,2.4762
27K_min,6CBZ,EST_redock_6CBZ,0.9179,5.4389,inf
27K_min,3UU7,2OH_redock_3UU7,0.9155,5.4391,inf
27K_min,1G50,EST_redock_1G50,0.9090,5.8026,inf
27K_min,1GWR,EST_redock_1GWR,0.9009,5.0294,inf
27K_min,4MGA,27L_redock_4MGA,0.9006,5.4025,inf
27K_min,4TUZ,36J_redock_4TUZ,0.8896,5.5026,inf
27K_min,4MGC,27M_redock_4MGC,0.8889,5.3522,inf
27K_min,1ERE,EST_redock_1ERE,0.8852,5.2733,inf
27L_min,4ZN7,DES_redock_4ZN7,0.9538,6.8021,inf
27L_min,3ERD,DES_redock_3ERD,0.9534,6.9106,inf
27L_min,1ERE,EST_redock_1ERE,0.9448,6.8283,inf
27L_min,3UU7,2OH_redock_3UU7,0.9416,6.6496,inf
27L_min,4MGA,27L_redock_4MGA,0.9398,7.0282,1.1577
27L_min,3UUD,EST_redock_3UUD,0.9363,6.5450,inf
27L_min,1G50,EST_redock_1G50,0.9310,6.8196,inf
27L_min,6CBZ,EST_redock_6CBZ,0.9286,6.6531,inf
27L_min,4MGC,27M_redock_4MGC,0.9263,6.3932,inf
27L_min,4MG9,27K_redock_4MG9,0.9250,6.3581,inf
27L_min,4TUZ,36J_redock_4TUZ,0.8910,6.1919,inf
27L_min,1GWR,EST_redock_1GWR,0.8885,6.0570,inf
27L_min,4MG8,27J_redock_4MG8,0.8693,5.9052,inf
27M_min,4ZN7,DES_redock_4ZN7,0.8794,5.3391,inf
27M_min,1GWR,EST_redock_1GWR,0.8716,5.0751,inf
27M_min,3ERD,DES_redock_3ERD,0.8472,4.7903,inf
27M_min,3UU7,2OH_redock_3UU7,0.8313,4.3800,inf
27M_min,4TUZ,36J_redock_4TUZ,0.8304,5.0435,inf
27M_min,4MG9,27K_redock_4MG9,0.8216,4.1545,inf
27M_min,4MGC,27M_redock_4MGC,0.8210,4.7887,2.2437
27M_min,4MGA,27L_redock_4MGA,0.8192,4.5637,inf
27M_min,6CBZ,EST_redock_6CBZ,0.8161,4.6703,inf
27M_min,3UUD,EST_redock_3UUD,0.8088,5.0044,inf
27M_min,4MG8,27J_redock_4MG8,0.7833,4.0738,inf
27M_min,1ERE,EST_redock_1ERE,0.7780,4.3929,inf
27M_min,1G50,EST_redock_1G50,0.7323,4.3974,inf
2OH_min,4ZN7,DES_redock_4ZN7,0.9167,6.6037,inf
2OH_min,4MGA,27L_redock_4MGA,0.9156,6.3558,inf
2OH_min,1GWR,EST_redock_1GWR,0.9015,6.3029,inf
2OH_min,3UU7,2OH_redock_3UU7,0.8946,6.5886,0.7731
2OH_min,1ERE,EST_redock_1ERE,0.8782,6.2405,inf
2OH_min,3ERD,DES_redock_3ERD,0.8717,6.0479,inf
2OH_min,1G50,EST_redock_1G50,0.8421,6.1681,inf
2OH_min,4MGC,27M_redock_4MGC,0.8224,5.6714,inf
2OH_min,4MG8,27J_redock_4MG8,0.7909,5.4664,inf
2OH_min,3UUD,EST_redock_3UUD,0.7897,5.5609,inf
2OH_min,4MG9,27K_redock_4MG9,0.7842,5.3854,inf
2OH_min,6CBZ,EST_redock_6CBZ,0.7686,5.3563,inf
2OH_min,4TUZ,36J_redock_4TUZ,0.7618,5.4507,inf
36J_min,4MG8,27J_redock_4MG8,0.9295,6.4932,0.4869
36J_min,4TUZ,36J_redock_4TUZ,0.8945,6.2088,0.5413
36J_min,3UUD,EST_redock_3UUD,0.8735,6.0179,inf
36J_min,1GWR,EST_redock_1GWR,0.8729,6.3103,inf
36J_min,4MGC,27M_redock_4MGC,0.8330,5.8810,inf
36J_min,1G50,EST_redock_1G50,0.8267,5.7832,inf
36J_min,3UU7,2OH_redock_3UU7,0.8187,5.7324,inf
36J_min,4MG9,27K_redock_4MG9,0.7976,5.2436,2.0998
36J_min,1ERE,EST_redock_1ERE,0.7972,5.4009,inf
36J_min,6CBZ,EST_redock_6CBZ,0.7926,5.5448,inf
36J_min,3ERD,DES_redock_3ERD,0.7735,5.2382,inf
36J_min,4MGA,27L_redock_4MGA,0.6685,4.4190,inf
36J_min,4ZN7,DES_redock_4ZN7,0.6526,4.4542,inf
Caffeine_min,4ZN7,DES_redock_4ZN7,0.7552,4.0611,inf
Caffeine_min,4MGC,27M_redock_4MGC,0.6767,3.6297,inf
Caffeine_min,3UUD,EST_redock_3UUD,0.6743,3.4597,inf
Caffeine_min,6CBZ,EST_redock_6CBZ,0.6644,3.3024,inf
Caffeine_min,1G50,EST_redock_1G50,0.6507,3.2288,inf
Caffeine_min,3ERD,DES_redock_3ERD,0.6385,3.1165,inf
