ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
27J,6CBZ,EST_redock_6CBZ,0.7356,4.8308,inf
27J,1GWR,EST_redock_1GWR,0.7177,4.9734,inf
27J,4TUZ,36J_redock_4TUZ,0.7070,4.5855,1.4256
27J,3UU7,2OH_redock_3UU7,0.7014,5.0870,inf
27J,3UUD,EST_redock_3UUD,0.6836,4.6035,inf
27J,4MG8,27J_redock_4MG8,0.6757,4.4561,1.4254
27J,3ERD,DES_redock_3ERD,0.6752,4.3226,inf
27J,1ERE,EST_redock_1ERE,0.6477,4.6075,inf
27J,4MG9,27K_redock_4MG9,0.6374,4.1574,2.0097
27J,4ZN7,DES_redock_4ZN7,0.6327,4.1277,inf
27J,4MGC,27M_redock_4MGC,0.5956,3.7478,inf
27J,4MGA,27L_redock_4MGA,0.4519,2.8396,inf
27J,1G50,EST_redock_1G50,0.3929,2.5507,inf
27K,4ZN7,DES_redock_4ZN7,0.9430,5.5313,inf
27K,3ERD,DES_redock_3ERD,0.9266,5.6534,inf
27K,4MG9,27K_redock_4MG9,0.9232,4.9944,2.4395
27K,1GWR,EST_redock_1GWR,0.9231,5.1058,inf
27K,4MGA,27L_redock_4MGA,0.9221,5.5429,inf
27K,1G50,EST_redock_1G50,0.9193,6.2225,inf
27K,6CBZ,EST_redock_6CBZ,0.9188,5.4132,inf
27K,3UUD,EST_redock_3UUD,0.9083,5.1525,inf
27K,3UU7,2OH_redock_3UU7,0.9016,5.1952,inf
27K,4MGC,27M_redock_4MGC,0.8919,5.0310,inf
27K,4MG8,27J_redock_4MG8,0.8843,4.6675,inf
27K,4TUZ,36J_redock_4TUZ,0.8821,4.8052,inf
27K,1ERE,EST_redock_1ERE,0.8632,4.9930,inf
27L,3ERD,DES_redock_3ERD,0.9542,6.9074,inf
27L,4MGA,27L_redock_4MGA,0.9519,6.7826,2.6537
27L,4ZN7,DES_redock_4ZN7,0.9506,6.7285,inf
27L,1G50,EST_redock_1G50,0.9477,6.7693,inf
27L,3UU7,2OH_redock_3UU7,0.9466,6.7062,inf
27L,4MGC,27M_redock_4MGC,0.9352,6.5072,inf
27L,3UUD,EST_redock_3UUD,0.9295,6.5297,inf
27L,1ERE,EST_redock_1ERE,0.9241,6.5886,inf
27L,6CBZ,EST_redock_6CBZ,0.9149,6.3528,inf
27L,4MG9,27K_redock_4MG9,0.9091,6.2214,inf
27L,1GWR,EST_redock_1GWR,0.9081,6.3305,inf
27L,4TUZ,36J_redock_4TUZ,0.8876,6.1170,inf
27L,4MG8,27J_redock_4MG8,0.8774,6.1106,inf
27M,4ZN7,DES_redock_4ZN7,0.8828,5.3445,inf
27M,1GWR,EST_redock_1GWR,0.8793,5.0979,inf
27M,3ERD,DES_redock_3ERD,0.8454,4.8014,inf
27M,3UU7,2OH_redock_3UU7,0.8405,4.4382,inf
27M,3UUD,EST_redock_3UUD,0.8331,4.6552,inf
27M,4MG9,27K_redock_4MG9,0.8320,4.3120,inf
27M,4MGA,27L_redock_4MGA,0.8197,4.4932,inf
27M,6CBZ,EST_redock_6CBZ,0.8065,4.5478,inf
27M,4TUZ,36J_redock_4TUZ,0.7976,4.7300,inf
27M,4MGC,27M_redock_4MGC,0.7960,4.6037,2.2264
27M,1ERE,EST_redock_1ERE,0.7627,4.3862,inf
27M,4MG8,27J_redock_4MG8,0.7608,3.9612,inf
27M,1G50,EST_redock_1G50,0.6961,4.3175,inf
2OH,4ZN7,DES_redock_4ZN7,0.9203,6.6152,inf
2OH,4MGA,27L_redock_4MGA,0.9185,6.4228,inf
2OH,1GWR,EST_redock_1GWR,0.8961,6.2097,inf
2OH,3UU7,2OH_redock_3UU7,0.8854,6.0534,3.2247
2OH,3ERD,DES_redock_3ERD,0.8781,6.0879,inf
2OH,1ERE,EST_redock_1ERE,0.8773,6.2580,inf
2OH,6CBZ,EST_redock_6CBZ,0.8575,6.1199,inf
2OH,4MG9,27K_redock_4MG9,0.7995,5.1215,inf
2OH,3UUD,EST_redock_3UUD,0.7948,5.6964,inf
2OH,4MGC,27M_redock_4MGC,0.7937,5.3954,inf
2OH,4MG8,27J_redock_4MG8,0.7907,5.2752,inf
2OH,4TUZ,36J_redock_4TUZ,0.7826,5.4189,inf
2OH,1G50,EST_redock_1G50,0.7728,5.5605,inf
36J,4MG8,27J_redock_4MG8,0.9355,6.5267,0.4926
36J,4TUZ,36J_redock_4TUZ,0.9010,6.2305,0.5489
36J,3UUD,EST_redock_3UUD,0.8889,6.1302,inf
36J,1GWR,EST_redock_1GWR,0.8829,6.3861,inf
